# en-US British -> American spelling corpus. GENERATED -- do not edit by hand.
# Regenerate: ./.venv/bin/python bin/gen_british_spellings.py
# Source: VarCon (SCOWL) -- https://github.com/en-wl/wordlist (public domain).
#   Vendored copy + license: config/en-US/varcon.txt
# Filter: British-only forms (no American tag in the headword), SCOWL level <= 60.
# House-style adds/exclusions: config/en-US/british-american.overrides.txt
# Format: <british><TAB><american>, one pair per line, sorted.

endeavoured	endeavored
endeavouring	endeavoring
endeavours	endeavors
energise	energize
energised	energized
energiser	energizer
energisers	energizers
energises	energizes
energising	energizing
enquire	inquire
enquired	inquired
enquires	inquires
enquiries	inquiries
enquiring	inquiring
enquiry	inquiry
enrol	enroll
enrolment	enrollment
enrolments	enrollments
enrols	enrolls
enthral	enthrall
enthralment	enthrallment
enthralments	enthrallments
enthrals	enthralls
epicentre	epicenter
epicentres	epicenters
epitomise	epitomize
epitomised	epitomized
epitomises	epitomizes
epitomising	epitomizing
equalisation	equalization
equalisations	equalizations
equalise	equalize
equalised	equalized
equaliser	equalizer
equalisers	equalizers
equalises	equalizes
equalising	equalizing
equalisings	equalizings
equalled	equaled
equalling	equaling
eulogise	eulogize
eulogised	eulogized
eulogiser	eulogizer
eulogisers	eulogizers
eulogises	eulogizes
eulogising	eulogizing
evangelise	evangelize
evangelised	evangelized
evangelises	evangelizes
evangelising	evangelizing
eviller	eviler
evillest	evilest
extemporisation	extemporization
extemporisations	extemporizations
extemporise	extemporize
extemporised	extemporized
extemporises	extemporizes
extemporising	extemporizing
externalisation	externalization
externalisations	externalizations
externalise	externalize
externalised	externalized
externalises	externalizes
externalising	externalizing
eyrie	aerie
factorisation	factorization
factorisations	factorizations
factorise	factorize
factorised	factorized
factorises	factorizes
factorising	factorizing
faecal	fecal
faeces	feces
familiarisation	familiarization
familiarisations	familiarizations
familiarise	familiarize
familiarised	familiarized
familiarises	familiarizes
familiarising	familiarizing
fantasise	fantasize
fantasised	fantasized
fantasises	fantasizes
fantasising	fantasizing
faradise	faradize
faradised	faradized
faradises	faradizes
faradising	faradizing
favour	favor
favourable	favorable
favourabler	favorabler
favourables	favorables
favourablest	favorablest
favourablier	favorablier
favourabliest	favorabliest
favourably	favorably
favoured	favored
favoureds	favoreds
favouring	favoring
favourings	favorings
favourite	favorite
favouriter	favoriter
favourites	favorites
favouritest	favoritest
favouritism	favoritism
favouritisms	favoritisms
favours	favors
fayre	fayer
federalisation	federalization
federalisations	federalizations
federalise	federalize
federalised	federalized
federalises	federalizes
federalising	federalizing
feminise	feminize
feminised	feminized
feminises	feminizes
feminising	feminizing
fertilisation	fertilization
fertilisations	fertilizations
fertilise	fertilize
fertilised	fertilized
fertiliser	fertilizer
fertilisers	fertilizers
fertilises	fertilizes
fertilising	fertilizing
fervour	fervor
fervours	fervors
fibre	fiber
fibreboard	fiberboard
fibreboards	fiberboards
fibrefill	fiberfill
fibrefills	fiberfills
fibreglass	fiberglass
fibreglasses	fiberglasses
fibres	fibers
fictionalisation	fictionalization
fictionalisations	fictionalizations
fictionalise	fictionalize
fictionalised	fictionalized
fictionalises	fictionalizes
fictionalising	fictionalizing
finalisation	finalization
finalisations	finalizations
finalise	finalize
finalised	finalized
finalises	finalizes
finalising	finalizing
flannelled	flanneled
